author_name	painting_name	image_url	Genre	Style	Nationality	Painting School	Art Movement	Field	Date	Media	Tag	Period	Theme	Path	ColorTagsHex	ColorTagsPct	ColorBinIds
Cornelis De Vos	Portrait Of A Girl At The Age Of 10	https://uploads4.wikiart.org/images/cornelis-de-vos/portrait-of-a-girl-at-the-age-of-10.jpg!Large.jpg	portrait	Baroque	Flemish	Flemish School,Antwerp School	Baroque	painting		oil,canvas	children portraits			Artists2/Cornelis De Vos/Portrait Of A Girl At The Age Of 10.jpg	#2a151a,#805040,#804050,#2a2328,#2a2325,#801631,#2a1a15	0.1843,0.1810,0.1462,0.1013,0.0572,0.0501,0.0487	102,4,103,90,99,106,3
Cornelis De Vos	Portrait Of An Eleven Year Old Girl With A Dog Dressed In Spanish Fashion	https://uploads6.wikiart.org/images/cornelis-de-vos/portrait-of-an-eleven-year-old-girl-with-a-dog-dressed-in-spanish-fashion.jpg!Large.jpg	portrait	Baroque	Flemish	Flemish School,Antwerp School	Baroque	painting			children portraits			Artists2/Cornelis De Vos/Portrait Of An Eleven Year Old Girl With A Dog Dressed In Spanish Fashion.jpg	#282a23,#2a2823,#23252a,#2a2523,#232a25	0.2033,0.1783,0.0849,0.0833,0.0480	18,9,63,0,36
Cornelis De Vos	Portrait Of A Dutch Master	https://uploads4.wikiart.org/images/cornelis-de-vos/portrait-of-a-dutch-master.jpg!Large.jpg	portrait	Baroque	Flemish	Flemish School,Antwerp School	Baroque	painting		oil,panel	male-portraits			Artists2/Cornelis De Vos/Portrait Of A Dutch Master.jpg	#2a2515,#2a2823,#2a1a15,#d4856a,#807040,#d4cbb1,#2a2107,#d4ba6a	0.4567,0.1823,0.0725,0.0559,0.0490,0.0485,0.0434,0.0417	12,9,3,5,13,11,15,14
Cornelis De Vos	Diogenes Searches For A Man	https://uploads4.wikiart.org/images/cornelis-de-vos/diogenes-searches-for-a-man.jpg	portrait	Baroque	Flemish	Flemish School,Antwerp School	Baroque	painting		oil,canvas	famous-people,historical-events			Artists2/Cornelis De Vos/Diogenes Searches For A Man.jpg	#805040,#2a2523,#80706b,#2a1a15,#2a2325,#807040,#807b6b,#d4cbb1,#d4ba6a,#2a151a	0.2152,0.1301,0.1131,0.0990,0.0963,0.0723,0.0613,0.0568,0.0432,0.0415	4,0,1,3,99,13,10,11,14,102
Cornelis De Vos	Cornelis De Vos Alexander And Diogenes	https://uploads6.wikiart.org/images/cornelis-de-vos/cornelis-de-vos-alexander-and-diogenes.jpg	portrait	Baroque	Flemish	Flemish School,Antwerp School	Baroque	painting			historical-events			Artists2/Cornelis De Vos/Cornelis De Vos Alexander And Diogenes.jpg	#807040,#2a2523,#2a1a15,#805040,#807b6b,#2a2515	0.2988,0.1244,0.1059,0.0969,0.0780,0.0604	13,0,3,4,10,12
Cornelis De Vos	Allegory Of Earth	https://uploads3.wikiart.org/images/cornelis-de-vos/allegory-of-earth.jpg	portrait	Baroque	Flemish	Flemish School,Antwerp School	Baroque	painting		oil,canvas	female-portraits			Artists2/Cornelis De Vos/Allegory Of Earth.jpg	#803116,#b1bad4,#2a2523,#807040,#2a1a15,#2a2515,#d4ba6a	0.1039,0.0996,0.0720,0.0606,0.0574,0.0570,0.0419	7,65,0,13,3,12,14
Cornelis De Vos	Two Daughters Of The Painter	https://uploads6.wikiart.org/images/cornelis-de-vos/two-daughters-of-the-painter.jpg!Large.jpg	portrait	Baroque	Flemish	Flemish School,Antwerp School	Baroque	painting	c.1630 - c.1640	oil,canvas	group-portraits			Artists2/Cornelis De Vos/Two Daughters Of The Painter.jpg	#2a2523,#805040,#803116,#2a1a15,#d4ba6a,#2a2325,#d4856a	0.2538,0.1882,0.0973,0.0962,0.0824,0.0722,0.0626	0,4,7,3,14,99,5
Cornelis De Vos	The Family Of The Artist 1635	https://uploads7.wikiart.org/images/cornelis-de-vos/the-family-of-the-artist-1635.jpg!Large.jpg	portrait	Baroque	Flemish	Flemish School,Antwerp School	Baroque	painting	1630 - 1635	oil,canvas	group-portraits			Artists2/Cornelis De Vos/The Family Of The Artist 1635.jpg	#805040,#2a2523,#80706b,#2a1a15,#2a2325,#d4cbb1,#d4bab1,#807040	0.2496,0.1208,0.1137,0.0906,0.0682,0.0630,0.0606,0.0414	4,0,1,3,99,11,2,13
Cornelis De Vos	The Triumph Of Bacchus	https://uploads0.wikiart.org/images/cornelis-de-vos/the-triumph-of-bacchus.jpg!Large.jpg	portrait	Baroque	Flemish	Flemish School,Antwerp School	Baroque	painting		oil,canvas	allegories-and-symbols			Artists2/Cornelis De Vos/The Triumph Of Bacchus.jpg	#805040,#2a1a15,#d4856a,#2a151a,#d4bab1,#80706b	0.2517,0.1858,0.0798,0.0563,0.0534,0.0485	4,3,5,102,2,1
Eustache Le Sueur	The Preaching Of St Paul At Ephesus	https://uploads6.wikiart.org/images/eustache-le-sueur/the-preaching-of-st-paul-at-ephesus.jpg!Large.jpg	religious painting	Baroque	French		Baroque	painting	1649	oil,canvas	Christianity,saints-and-apostles,St.-Paul			Artists2/Eustache Le Sueur/The Preaching Of St Paul At Ephesus.jpg	#807040,#2a2515,#807b6b,#805040,#2a1007,#2a1a15,#803116,#d4cbb1,#80706b	0.1807,0.1511,0.0872,0.0792,0.0694,0.0692,0.0689,0.0525,0.0432	13,12,10,4,6,3,7,11,1
Eustache Le Sueur	St Bruno Appearing To Comte Roger 1648	https://uploads0.wikiart.org/images/eustache-le-sueur/st-bruno-appearing-to-comte-roger-1648.jpg!Large.jpg	religious painting	Baroque	French		Baroque	painting	1645 - 1648	oil,canvas	Christianity,saints-and-apostles			Artists2/Eustache Le Sueur/St Bruno Appearing To Comte Roger 1648.jpg	#2a2515,#2a1a15,#803116,#2a1007,#2a2523,#2a2107,#807040,#806616	0.1899,0.1175,0.1023,0.0754,0.0679,0.0667,0.0611,0.0531	12,3,7,6,0,15,13,16
Eustache Le Sueur	Saint Bruno The Feet Of Pope Urban Ii 1648	https://uploads4.wikiart.org/images/eustache-le-sueur/saint-bruno-the-feet-of-pope-urban-ii-1648.jpg!Large.jpg	religious painting	Baroque	French		Baroque	painting	1645 - 1648		Christianity,saints-and-apostles,priests-and-sacraments			Artists2/Eustache Le Sueur/Saint Bruno The Feet Of Pope Urban Ii 1648.jpg	#282a23,#2a2823,#b1cbd4,#7b806b,#6b807b,#252a23,#232a28,#6b7b80,#807040,#232a25	0.1551,0.0689,0.0552,0.0523,0.0468,0.0467,0.0459,0.0433,0.0425,0.0423	18,9,56,19,46,27,45,55,13,36
Eustache Le Sueur	Death Of St Bruno	https://uploads6.wikiart.org/images/eustache-le-sueur/death-of-st-bruno.jpg!Large.jpg	religious painting	Baroque	French		Baroque	painting	c.1645 - c.1648		Christianity,saints-and-apostles,birth-and-death			Artists2/Eustache Le Sueur/Death Of St Bruno.jpg	#805040,#2a2523,#2a1a15,#807040,#d4bab1,#2a2823,#d4ba6a,#2a2515	0.2733,0.1846,0.1424,0.1008,0.0535,0.0530,0.0494,0.0442	4,0,3,13,2,9,14,12
Eustache Le Sueur	Christ Healing The Blind Man	https://uploads8.wikiart.org/images/eustache-le-sueur/christ-healing-the-blind-man.jpg!Large.jpg	religious painting	Baroque	French		Baroque	painting		oil,panel	Christianity,Jesus-Christ			Artists2/Eustache Le Sueur/Christ Healing The Blind Man.jpg	#805040,#2a1a15,#2a2523,#803116,#25232a,#d4856a,#d4ba6a	0.2011,0.2000,0.1054,0.0734,0.0549,0.0517,0.0401	4,3,0,7,72,5,14
Eustache Le Sueur	The Muse Terpsichore 1655	https://uploads5.wikiart.org/images/eustache-le-sueur/the-muse-terpsichore-1655.jpg!Large.jpg	mythological painting	Baroque	French		Baroque	painting	1652 - 1655	oil,panel	Greek-and-Roman-Mythology,muses			Artists2/Eustache Le Sueur/The Muse Terpsichore 1655.jpg	#2a1a15,#801631,#805040,#d4856a,#803116,#2a2523,#80706b,#d4bab1,#2a1007	0.2001,0.1774,0.1044,0.0881,0.0765,0.0557,0.0520,0.0465,0.0438	3,106,4,5,7,0,1,2,6
Eustache Le Sueur	Melpomene Erato And Polyhymnia 1655	https://uploads6.wikiart.org/images/eustache-le-sueur/melpomene-erato-and-polyhymnia-1655.jpg!Large.jpg	mythological painting	Baroque	French		Baroque	painting	1652 - 1655	oil,canvas	Greek-and-Roman-Mythology,muses			Artists2/Eustache Le Sueur/Melpomene Erato And Polyhymnia 1655.jpg	#2a1a15,#805040,#2a2523,#d45124,#803116,#2a2515	0.1753,0.0848,0.0545,0.0504,0.0445,0.0427	3,4,0,8,7,12
Eustache Le Sueur	St Gervase And St Protase Brought Before Anastasius	https://uploads4.wikiart.org/images/eustache-le-sueur/st-gervase-and-st-protase-brought-before-anastasius.jpg!Large.jpg	religious painting	Baroque	French		Baroque	painting	1652	oil,canvas	Christianity,famous-people,saints-and-apostles			Artists2/Eustache Le Sueur/St Gervase And St Protase Brought Before Anastasius.jpg	#2a1a15,#2a1007,#805040,#807040,#2a151a,#803116,#d4cbb1,#d4ba6a	0.1652,0.1189,0.0836,0.0798,0.0712,0.0586,0.0504,0.0415	3,6,4,13,102,7,11,14
Eustache Le Sueur	Deposition From The Cross	https://uploads4.wikiart.org/images/eustache-le-sueur/deposition-from-the-cross.jpg	religious painting	Baroque	French		Baroque	painting	1651		Christianity,Jesus-Christ,Crucifixion			Artists2/Eustache Le Sueur/Deposition From The Cross.jpg	#807040,#2a2515,#d4bab1,#d4cbb1,#807b6b,#806616,#7b806b,#282a23	0.1552,0.1122,0.1103,0.0899,0.0685,0.0538,0.0521,0.0442	13,12,2,11,10,16,19,18
Eustache Le Sueur	Abduction Of Ganymede	https://uploads1.wikiart.org/images/eustache-le-sueur/abduction-of-ganymede.jpg!Large.jpg	mythological painting	Baroque	French		Baroque	painting	c.1650	oil,canvas	Greek-and-Roman-Mythology,heroes			Artists2/Eustache Le Sueur/Abduction Of Ganymede.jpg	#807040,#2a2823,#2a1a15,#807b6b,#2a2515,#805040,#80706b,#2a2523,#d4bab1,#803116,#d4cbb1	0.1610,0.1229,0.1014,0.0892,0.0862,0.0787,0.0743,0.0689,0.0533,0.0431,0.0423	13,9,3,10,12,4,1,0,2,7,11
Eustache Le Sueur	The Birth Of Cupid 1647	https://uploads3.wikiart.org/images/eustache-le-sueur/the-birth-of-cupid-1647.jpg!Large.jpg	mythological painting	Baroque	French		Baroque	painting	1645 - 1647	oil,panel	Greek-and-Roman-Mythology,gods-and-goddesses			Artists2/Eustache Le Sueur/The Birth Of Cupid 1647.jpg	#d4cbb1,#807b6b,#25232a,#d4ba6a,#805040,#807040,#803116	0.2253,0.1661,0.0868,0.0660,0.0468,0.0465,0.0454	11,10,72,14,4,13,7
Eustache Le Sueur	Cupid Ordering Mercury To Announce His Power To The Universe 1647	https://uploads8.wikiart.org/images/eustache-le-sueur/cupid-ordering-mercury-to-announce-his-power-to-the-universe-1647.jpg	mythological painting	Baroque	French		Baroque	painting	1646 - 1647	oil,panel	Greek-and-Roman-Mythology,gods-and-goddesses,Cupid-and-Psyche			Artists2/Eustache Le Sueur/Cupid Ordering Mercury To Announce His Power To The Universe 1647.jpg	#6b7080,#2a2523,#805040,#803116,#6b7b80,#80706b,#d4bab1	0.2783,0.0843,0.0618,0.0581,0.0560,0.0446,0.0431	64,0,4,7,55,1,2
Eustache Le Sueur	Caligula Depositing The Ashes Of His Mother And Brother In The Tomb Of His Ancestors	https://uploads1.wikiart.org/images/eustache-le-sueur/caligula-depositing-the-ashes-of-his-mother-and-brother-in-the-tomb-of-his-ancestors.jpg!Large.jpg	history painting	Baroque	French		Baroque	painting	1647		famous-people			Artists2/Eustache Le Sueur/Caligula Depositing The Ashes Of His Mother And Brother In The Tomb Of His Ancestors.jpg	#2a1a15,#805040,#2a2523,#706b80,#2a151a,#80706b	0.2642,0.1444,0.1167,0.0762,0.0432,0.0411	3,4,0,73,102,1
Eustache Le Sueur	Presentation Of The Virgin In The Temple	https://uploads2.wikiart.org/images/eustache-le-sueur/presentation-of-the-virgin-in-the-temple.jpg!Large.jpg	religious painting	Baroque	French		Baroque	painting	c.1640 - c.1645	oil,canvas	Christianity,saints-and-apostles,Virgin-Mary			Artists2/Eustache Le Sueur/Presentation Of The Virgin In The Temple.jpg	#805040,#d4856a,#d4cbb1,#804050	0.4015,0.3372,0.0590,0.0423	4,5,11,103
Eustache Le Sueur	A Gathering Of Friends 1642	https://uploads7.wikiart.org/images/eustache-le-sueur/a-gathering-of-friends-1642.jpg!Large.jpg	genre painting	Baroque	French		Baroque	painting	1640 - 1642	oil,canvas	group-portraits,conversations			Artists2/Eustache Le Sueur/A Gathering Of Friends 1642.jpg	#2a1a15,#2a2325,#805040,#2a2523,#2a2328,#2a151a,#d4856a,#803116,#2a1007	0.2314,0.1035,0.1034,0.0968,0.0854,0.0726,0.0637,0.0512,0.0467	3,99,4,0,90,102,5,7,6
Eustache Le Sueur	Clio Euterpe And Thalia	https://uploads3.wikiart.org/images/eustache-le-sueur/clio-euterpe-and-thalia.jpg!Large.jpg	mythological painting	Baroque	French		Baroque	painting	c.1640 - c.1645	oil,panel	Greek-and-Roman-Mythology,muses			Artists2/Eustache Le Sueur/Clio Euterpe And Thalia.jpg	#d4cbb1,#2a2325,#80706b,#805040,#2a2523,#807b6b,#2a2328,#d4856a	0.1142,0.1062,0.1030,0.0942,0.0913,0.0814,0.0695,0.0666	11,99,1,4,0,10,90,5
Eustache Le Sueur	Portrait Of A Young Man	https://uploads3.wikiart.org/images/eustache-le-sueur/portrait-of-a-young-man.jpg!Large.jpg	portrait	Baroque	French		Baroque	painting	c.1640	oil,canvas	male-portraits			Artists2/Eustache Le Sueur/Portrait Of A Young Man.jpg	#80706b,#807b6b,#807040,#25232a,#d4cbb1,#2a2523,#2a1a15	0.2432,0.2174,0.0703,0.0683,0.0638,0.0497,0.0480	1,10,13,72,11,0,3
Eustache Le Sueur	The Virgin And Child With Saint John The Baptist	https://uploads1.wikiart.org/images/eustache-le-sueur/the-virgin-and-child-with-saint-john-the-baptist.jpg!Large.jpg	religious painting	Baroque	French		Baroque	painting	1635		Christianity,saints-and-apostles,Virgin-and-Child,St. John the Baptist			Artists2/Eustache Le Sueur/The Virgin And Child With Saint John The Baptist.jpg	#803116,#2a1007,#d4856a,#805040,#d45124,#2a1a15,#d4ba6a,#807040,#6b7080,#80706b	0.1506,0.1395,0.1049,0.0872,0.0721,0.0668,0.0614,0.0483,0.0420,0.0405	7,6,5,4,8,3,14,13,64,1
Cornelis De Vos	Portrait Of The Artist S Daughter	https://uploads2.wikiart.org/images/cornelis-de-vos/portrait-of-the-artist-s-daughter.jpg!Large.jpg	portrait	Baroque	Flemish	Flemish School,Antwerp School	Baroque	painting		oil,canvas	children portraits			Artists2/Cornelis De Vos/Portrait Of The Artist S Daughter.jpg	#2a1a15,#807b6b,#2a2515,#2a2823,#2a1007,#d4cbb1	0.2510,0.2123,0.1439,0.0983,0.0769,0.0435	3,10,12,9,6,11
Cornelis De Vos	Family Portrait	https://uploads2.wikiart.org/images/cornelis-de-vos/family-portrait.jpg!Large.jpg	portrait	Baroque	Flemish	Flemish School,Antwerp School	Baroque	painting	1631	oil,panel	group-portraits			Artists2/Cornelis De Vos/Family Portrait.jpg	#2a2823,#2a2523,#2a2515,#807b6b	0.3776,0.1590,0.1204,0.0735	9,0,12,10
Cornelis De Vos	Salbung Salomos	https://uploads1.wikiart.org/images/cornelis-de-vos/salbung-salomos.jpg	portrait	Baroque	Flemish	Flemish School,Antwerp School	Baroque	painting	c.1630		historical-events			Artists2/Cornelis De Vos/Salbung Salomos.jpg	#2a1a15,#807040,#2a1007,#805040,#2a2523,#807b6b,#2a2823,#2a2515	0.2229,0.1371,0.0929,0.0790,0.0697,0.0585,0.0546,0.0494	3,13,6,4,0,10,9,12
Cornelis De Vos	Fish Market	https://uploads6.wikiart.org/images/cornelis-de-vos/fish-market.jpg	portrait	Baroque	Flemish	Flemish School,Antwerp School	Baroque	painting	c.1620 - c.1630	oil,canvas	markets-and-shops			Artists2/Cornelis De Vos/Fish Market.jpg	#2a1a15,#2a1007,#6b7b80,#807040,#807b6b,#805040,#2a2515,#d4cbb1	0.1789,0.1471,0.0935,0.0870,0.0821,0.0809,0.0692,0.0436	3,6,55,13,10,4,12,11
Cornelis De Vos	Portrait Of A Lady	https://uploads4.wikiart.org/images/cornelis-de-vos/portrait-of-a-lady.jpg	portrait	Baroque	Flemish	Flemish School,Antwerp School	Baroque	painting	1625		female-portraits			Artists2/Cornelis De Vos/Portrait Of A Lady.jpg	#805040,#232a28,#2a1a15,#252a23,#15252a,#23252a	0.1147,0.0903,0.0834,0.0642,0.0560,0.0469	4,45,3,27,57,63
Cornelis De Vos	Elisabeth Or Cornelia Vekemans As A Young Girl	https://uploads6.wikiart.org/images/cornelis-de-vos/elisabeth-or-cornelia-vekemans-as-a-young-girl.jpg!Large.jpg	portrait	Baroque	Flemish	Flemish School,Antwerp School	Baroque	painting	1625	oil,wood	female-portraits			Artists2/Cornelis De Vos/Elisabeth Or Cornelia Vekemans As A Young Girl.jpg	#2a2823,#2a2523,#2a1a15,#2a2325,#80706b,#805040,#d4bab1	0.3972,0.1661,0.0796,0.0549,0.0516,0.0516,0.0424	9,0,3,99,1,4,2
Cornelis De Vos	Portrait Of Elisabeth Mertens And Her Late Husband	https://uploads1.wikiart.org/images/cornelis-de-vos/portrait-of-elisabeth-mertens-and-her-late-husband.jpg!Large.jpg	portrait	Baroque	Flemish	Flemish School,Antwerp School	Baroque	painting	1630	oil,panel	group-portraits			Artists2/Cornelis De Vos/Portrait Of Elisabeth Mertens And Her Late Husband.jpg	#23252a,#28232a,#2a0710,#2a2328,#d4856a,#2a2325	0.3872,0.1362,0.0797,0.0549,0.0442,0.0433	63,81,105,90,5,99
Cornelis De Vos	Portrait Of The Artist With His Family	https://uploads7.wikiart.org/images/cornelis-de-vos/portrait-of-the-artist-with-his-family.jpg!Large.jpg	portrait	Baroque	Flemish	Flemish School,Antwerp School	Baroque	painting	1621	oil,canvas	group-portraits			Artists2/Cornelis De Vos/Portrait Of The Artist With His Family.jpg	#2a2523,#2a1a15,#23252a,#805040,#807b6b,#2a2823,#d4cbb1	0.2221,0.1997,0.1018,0.0851,0.0530,0.0523,0.0474	0,3,63,4,10,9,11
Cornelis De Vos	Portrait Of Abraham Grapheus	https://uploads6.wikiart.org/images/cornelis-de-vos/portrait-of-abraham-grapheus.jpg!Large.jpg	portrait	Baroque	Flemish	Flemish School,Antwerp School	Baroque	painting	c.1620	oil,panel	female-portraits			Artists2/Cornelis De Vos/Portrait Of Abraham Grapheus.jpg	#807040,#2a2823,#2a2515,#807b6b,#2a2523,#d4cbb1,#805040,#2a1a15	0.2466,0.2303,0.1508,0.0843,0.0719,0.0655,0.0557,0.0454	13,9,12,10,0,11,4,3
Cornelis De Vos	The Birth Of Jesus	https://uploads5.wikiart.org/images/cornelis-de-vos/the-birth-of-jesus.jpg!Large.jpg	portrait	Baroque	Flemish	Flemish School,Antwerp School	Baroque	painting	1618	oil,wood	Christianity,Jesus-Christ			Artists2/Cornelis De Vos/The Birth Of Jesus.jpg	#23282a,#282a23,#2a2823,#23252a,#807b6b,#d4cbb1,#252a23,#2a2515,#2a1a15	0.1156,0.0846,0.0840,0.0700,0.0586,0.0584,0.0441,0.0432,0.0410	54,18,9,63,10,11,27,12,3
Ivan Nikitin	Portrait Of Peter The Great	https://uploads1.wikiart.org/images/ivan-nikitin/portrait-of-peter-the-great.jpg	portrait	Baroque	Russian		Baroque	painting			male-portraits,famous-people,Peter-the-Great			Artists2/Ivan Nikitin/Portrait Of Peter The Great.jpg	#d4bab1,#23252a,#2a2523,#23282a,#2a2328,#15252a,#2a2325,#d4ba6a	0.1969,0.1879,0.1133,0.1074,0.0757,0.0652,0.0577,0.0491	2,63,0,54,90,57,99,14
Alexey Zubov	The Bringing Of 4 Swedish Frigates In St Petersburg After The Victory In The Battle Of Grengam	https://uploads6.wikiart.org/images/alexey-zubov/the-bringing-of-4-swedish-frigates-in-st-petersburg-after-the-victory-in-the-battle-of-grengam.jpg!Large.jpg	battle painting	Baroque	Russian		Baroque	etching		etching,chisel,paper	boats-and-ships,naval-battles			Artists2/Alexey Zubov/The Bringing Of 4 Swedish Frigates In St Petersburg After The Victory In The Battle Of Grengam.jpg	#b1bad4,#706b80,#b1cbd4,#7b6b80,#bab1d4,#6b7080,#28232a	0.2440,0.2037,0.1414,0.0892,0.0750,0.0715,0.0449	65,73,56,82,74,64,81
Alexey Zubov	St Petersburg View Of The Peter And Paul Fortress 1727	https://uploads1.wikiart.org/images/alexey-zubov/st-petersburg-view-of-the-peter-and-paul-fortress-1727.jpg	cityscape	Baroque	Russian		Baroque	etching	 ; Russian Federation 	etching,chisel,paper	boats-and-ships,St.-Petersburg,Neva			Artists2/Alexey Zubov/St Petersburg View Of The Peter And Paul Fortress 1727.jpg	#b1bad4,#b1cbd4,#706b80,#b1d4cb,#6b7080,#1a152a,#bab1d4,#10072a,#504080	0.2156,0.1645,0.1498,0.1006,0.0883,0.0689,0.0598,0.0513,0.0441	65,56,73,47,64,75,74,78,76
