motif_a,motif_b,shared_paintings
animals,cliffs-and-rocks,19
animals,mills-and-windmills,2
animals,fields-and-plains,9
animals,forests-and-trees,79
animals,"Dante-Alighieri-""The-Divine-Comedy""",5
animals,sunrise-and-sunset,11
animals,battles-and-wars,10
animals,cottages-and-farmhouses,2
animals,castles-and-fortresses,5
animals,horsemen,2
animals,gates-and-towers,2
animals,islands-and-bays,1
animals,historical-events,2
animals,mountains,28
animals,lions,27
animals,valleys-and-hollows,1
animals,Dante,1
animals,houses-and-buildings,22
animals,dogs,36
animals,Don-Quixote,73
animals,angels-and-archangels,1
animals,male-portraits,6
animals,"John-Milton-""Paradise-Lost""",2
animals,folk-architecture,1
animals,gardens-and-parks,1
animals,celebrations-and-festivals,2
animals,rivers-and-waterfalls,37
animals,horses,210
animals,military-and-soldiers,3
forests-and-trees,storm-and-tempest,7
forests-and-trees,arts-and-crafts,1
forests-and-trees,seas-and-oceans,25
forests-and-trees,deer,14
forests-and-trees,sun-and-moon,3
forests-and-trees,Virgil,2
forests-and-trees,palaces-and-mausoleums,4
forests-and-trees,streets-and-squares,2
forests-and-trees,lakes-and-ponds,43
forests-and-trees,roads-and-vehicles,30
forests-and-trees,hunting-and-racing,11
forests-and-trees,knights-and-warriors,1
forests-and-trees,boats-and-ships,33
forests-and-trees,Crimea,2
forests-and-trees,twilight-and-night,10
forests-and-trees,group-portraits,36
forests-and-trees,allegories-and-symbols,1
forests-and-trees,countryside,27
forests-and-trees,cliffs-and-rocks,32
forests-and-trees,designs-and-sketches,2
forests-and-trees,mills-and-windmills,11
forests-and-trees,fields-and-plains,15
forests-and-trees,sunrise-and-sunset,25
forests-and-trees,"Dante-Alighieri-""The-Divine-Comedy""",4
forests-and-trees,battles-and-wars,1
forests-and-trees,cottages-and-farmhouses,7
forests-and-trees,castles-and-fortresses,2
forests-and-trees,islands-and-bays,5
forests-and-trees,valleys-and-hollows,24
forests-and-trees,mountains,213
forests-and-trees,Dante,2
forests-and-trees,historical-events,1
forests-and-trees,houses-and-buildings,39
forests-and-trees,dogs,3
forests-and-trees,male-portraits,8
forests-and-trees,"John-Milton-""Paradise-Lost""",1
forests-and-trees,rivers-and-waterfalls,190
forests-and-trees,ruins-and-columns,7
forests-and-trees,military-and-soldiers,2
gardens-and-parks,couples,1
gardens-and-parks,mountains,1
gardens-and-parks,houses-and-buildings,1
gardens-and-parks,palaces-and-mausoleums,2
gardens-and-parks,lakes-and-ponds,1
gardens-and-parks,Crimea,1
gardens-and-parks,dogs,1
gardens-and-parks,angels-and-archangels,1
gardens-and-parks,countryside,1
gardens-and-parks,celebrations-and-festivals,1
angels-and-archangels,battles-and-wars,4
angels-and-archangels,sins-and-sinners,1
angels-and-archangels,Virgil,10
angels-and-archangels,Dante,13
angels-and-archangels,J-F.-Michaud-'Bibliotheque-des-Croisades',4
angels-and-archangels,knights-and-warriors,5
angels-and-archangels,boats-and-ships,1
angels-and-archangels,"John-Milton-""Paradise-Lost""",19
angels-and-archangels,Jesus-Christ,2
angels-and-archangels,"Dante-Alighieri-""The-Divine-Comedy""",17
female-nude,battles-and-wars,1
female-nude,couples,6
female-nude,sins-and-sinners,1
female-nude,birth-and-death,1
female-nude,historical-events,1
female-nude,rivers-and-waterfalls,1
female-nude,military-and-soldiers,1
Dante,sins-and-sinners,30
Dante,seas-and-oceans,1
Dante,Virgil,109
Dante,rivers-and-waterfalls,3
Dante,"Dante-Alighieri-""The-Divine-Comedy""",118
Dante,boats-and-ships,2
"Dante-Alighieri-""The-Divine-Comedy""",couples,1
"Dante-Alighieri-""The-Divine-Comedy""",sins-and-sinners,43
"Dante-Alighieri-""The-Divine-Comedy""",gates-and-towers,1
"Dante-Alighieri-""The-Divine-Comedy""",Virgil,110
"Dante-Alighieri-""The-Divine-Comedy""",lions,1
"Dante-Alighieri-""The-Divine-Comedy""",mountains,1
"Dante-Alighieri-""The-Divine-Comedy""",boats-and-ships,2
"Dante-Alighieri-""The-Divine-Comedy""",male-portraits,1
"Dante-Alighieri-""The-Divine-Comedy""",rivers-and-waterfalls,3
allegories-and-symbols,battles-and-wars,16
allegories-and-symbols,storm-and-tempest,1
allegories-and-symbols,twilight-and-night,1
allegories-and-symbols,rivers-and-waterfalls,1
allegories-and-symbols,military-and-soldiers,1
allegories-and-symbols,knights-and-warriors,1
birth-and-death,battles-and-wars,1
birth-and-death,Sancho-Panza,1
birth-and-death,J-F.-Michaud-'Bibliotheque-des-Croisades',4
birth-and-death,knights-and-warriors,5
birth-and-death,hunting-and-racing,1
birth-and-death,Don-Quixote,1
birth-and-death,male-portraits,2
birth-and-death,furniture-and-decoration,1
birth-and-death,horses,1
birth-and-death,military-and-soldiers,1
battles-and-wars,castles-and-fortresses,1
battles-and-wars,horsemen,1
battles-and-wars,Sancho-Panza,7
battles-and-wars,arts-and-crafts,2
battles-and-wars,seas-and-oceans,19
battles-and-wars,historical-events,5
battles-and-wars,mountains,2
battles-and-wars,J-F.-Michaud-'Bibliotheque-des-Croisades',29
battles-and-wars,knights-and-warriors,57
battles-and-wars,boats-and-ships,20
battles-and-wars,Crimea,1
battles-and-wars,Rocinante,7
battles-and-wars,Don-Quixote,8
battles-and-wars,twilight-and-night,4
battles-and-wars,"John-Milton-""Paradise-Lost""",3
battles-and-wars,folk-architecture,2
battles-and-wars,horses,11
battles-and-wars,military-and-soldiers,18
historical-events,storm-and-tempest,4
historical-events,castles-and-fortresses,1
historical-events,seas-and-oceans,7
historical-events,palaces-and-mausoleums,2
historical-events,knights-and-warriors,2
historical-events,boats-and-ships,7
historical-events,twilight-and-night,1
historical-events,group-portraits,2
historical-events,horses,2
historical-events,military-and-soldiers,4
knights-and-warriors,couples,1
knights-and-warriors,castles-and-fortresses,5
knights-and-warriors,horsemen,4
knights-and-warriors,gates-and-towers,1
knights-and-warriors,mountains,3
knights-and-warriors,palaces-and-mausoleums,4
knights-and-warriors,houses-and-buildings,1
knights-and-warriors,J-F.-Michaud-'Bibliotheque-des-Croisades',78
knights-and-warriors,boats-and-ships,3
knights-and-warriors,Don-Quixote,2
knights-and-warriors,group-portraits,6
knights-and-warriors,male-portraits,14
knights-and-warriors,cliffs-and-rocks,1
knights-and-warriors,celebrations-and-festivals,1
knights-and-warriors,rivers-and-waterfalls,3
knights-and-warriors,horses,15
rivers-and-waterfalls,storm-and-tempest,3
rivers-and-waterfalls,arts-and-crafts,1
rivers-and-waterfalls,deer,6
rivers-and-waterfalls,Virgil,3
rivers-and-waterfalls,palaces-and-mausoleums,8
rivers-and-waterfalls,hunting-and-racing,10
rivers-and-waterfalls,streets-and-squares,1
rivers-and-waterfalls,roads-and-vehicles,3
rivers-and-waterfalls,moles-and-embankments,4
rivers-and-waterfalls,boats-and-ships,44
rivers-and-waterfalls,twilight-and-night,7
rivers-and-waterfalls,group-portraits,18
rivers-and-waterfalls,countryside,24
rivers-and-waterfalls,cliffs-and-rocks,24
rivers-and-waterfalls,designs-and-sketches,1
rivers-and-waterfalls,Venice,2
rivers-and-waterfalls,mills-and-windmills,8
rivers-and-waterfalls,fields-and-plains,3
rivers-and-waterfalls,sunrise-and-sunset,20
rivers-and-waterfalls,cottages-and-farmhouses,3
rivers-and-waterfalls,castles-and-fortresses,3
rivers-and-waterfalls,horsemen,2
rivers-and-waterfalls,islands-and-bays,3
rivers-and-waterfalls,valleys-and-hollows,14
rivers-and-waterfalls,mountains,120
rivers-and-waterfalls,houses-and-buildings,19
rivers-and-waterfalls,J-F.-Michaud-'Bibliotheque-des-Croisades',1
rivers-and-waterfalls,male-portraits,3
rivers-and-waterfalls,folk-architecture,1
rivers-and-waterfalls,ruins-and-columns,2
rivers-and-waterfalls,horses,4
boats-and-ships,storm-and-tempest,84
boats-and-ships,sins-and-sinners,1
boats-and-ships,seas-and-oceans,527
boats-and-ships,Virgil,2
boats-and-ships,sun-and-moon,45
boats-and-ships,deer,1
boats-and-ships,palaces-and-mausoleums,14
boats-and-ships,streets-and-squares,4
boats-and-ships,lakes-and-ponds,11
boats-and-ships,moles-and-embankments,59
boats-and-ships,roads-and-vehicles,3
boats-and-ships,Crimea,43
boats-and-ships,twilight-and-night,89
boats-and-ships,group-portraits,49
boats-and-ships,countryside,1
boats-and-ships,cliffs-and-rocks,23
boats-and-ships,Venice,19
boats-and-ships,mills-and-windmills,1
boats-and-ships,sunrise-and-sunset,72
boats-and-ships,cottages-and-farmhouses,3
boats-and-ships,castles-and-fortresses,6
boats-and-ships,Crimean-Mountains,15
boats-and-ships,gates-and-towers,12
boats-and-ships,islands-and-bays,45
boats-and-ships,mountains,123
boats-and-ships,valleys-and-hollows,1
boats-and-ships,houses-and-buildings,60
boats-and-ships,J-F.-Michaud-'Bibliotheque-des-Croisades',3
boats-and-ships,dogs,2
boats-and-ships,Don-Quixote,2
boats-and-ships,male-portraits,1
boats-and-ships,folk-architecture,2
boats-and-ships,celebrations-and-festivals,3
boats-and-ships,military-and-soldiers,1
streets-and-squares,couples,2
streets-and-squares,horsemen,1
streets-and-squares,gates-and-towers,2
streets-and-squares,seas-and-oceans,3
streets-and-squares,mountains,4
streets-and-squares,palaces-and-mausoleums,5
streets-and-squares,hunting-and-racing,1
streets-and-squares,roads-and-vehicles,6
streets-and-squares,moles-and-embankments,4
streets-and-squares,markets-and-shops,13
streets-and-squares,houses-and-buildings,28
streets-and-squares,group-portraits,12
streets-and-squares,folk-architecture,8
streets-and-squares,Venice,8
streets-and-squares,celebrations-and-festivals,1
streets-and-squares,horses,8
streets-and-squares,military-and-soldiers,1
markets-and-shops,group-portraits,12
markets-and-shops,castles-and-fortresses,1
markets-and-shops,palaces-and-mausoleums,1
markets-and-shops,folk-architecture,1
markets-and-shops,houses-and-buildings,5
markets-and-shops,horses,3
seas-and-oceans,storm-and-tempest,104
seas-and-oceans,Virgil,1
seas-and-oceans,sun-and-moon,65
seas-and-oceans,deer,1
seas-and-oceans,palaces-and-mausoleums,7
seas-and-oceans,roads-and-vehicles,2
seas-and-oceans,moles-and-embankments,46
seas-and-oceans,Crimea,60
seas-and-oceans,twilight-and-night,113
seas-and-oceans,group-portraits,33
seas-and-oceans,cliffs-and-rocks,41
seas-and-oceans,Venice,6
seas-and-oceans,mills-and-windmills,2
seas-and-oceans,sunrise-and-sunset,77
seas-and-oceans,cottages-and-farmhouses,1
seas-and-oceans,castles-and-fortresses,4
seas-and-oceans,Crimean-Mountains,20
seas-and-oceans,gates-and-towers,14
seas-and-oceans,islands-and-bays,70
seas-and-oceans,mountains,135
seas-and-oceans,houses-and-buildings,42
seas-and-oceans,dogs,2
seas-and-oceans,furniture-and-decoration,1
seas-and-oceans,male-portraits,3
seas-and-oceans,celebrations-and-festivals,3
seas-and-oceans,ruins-and-columns,1
seas-and-oceans,military-and-soldiers,2
twilight-and-night,storm-and-tempest,23
twilight-and-night,Crimean-Mountains,8
twilight-and-night,gates-and-towers,6
twilight-and-night,islands-and-bays,18
twilight-and-night,sun-and-moon,69
twilight-and-night,valleys-and-hollows,2
twilight-and-night,mountains,36
twilight-and-night,palaces-and-mausoleums,4
twilight-and-night,houses-and-buildings,8
twilight-and-night,lakes-and-ponds,2
twilight-and-night,roads-and-vehicles,2
twilight-and-night,moles-and-embankments,6
twilight-and-night,Crimea,15
twilight-and-night,dogs,1
twilight-and-night,group-portraits,2
twilight-and-night,cliffs-and-rocks,6
twilight-and-night,mills-and-windmills,2
twilight-and-night,furniture-and-decoration,1
twilight-and-night,fields-and-plains,2
group-portraits,palaces-and-mausoleums,23
group-portraits,lakes-and-ponds,3
group-portraits,roads-and-vehicles,21
group-portraits,moles-and-embankments,11
group-portraits,cliffs-and-rocks,3
group-portraits,Venice,11
group-portraits,fields-and-plains,6
group-portraits,sunrise-and-sunset,1
group-portraits,castles-and-fortresses,3
group-portraits,islands-and-bays,1
group-portraits,mountains,16
group-portraits,houses-and-buildings,48
group-portraits,male-portraits,11
group-portraits,celebrations-and-festivals,3
group-portraits,horses,29
group-portraits,military-and-soldiers,1
male-portraits,arts-and-crafts,1
male-portraits,houses-and-buildings,5
male-portraits,roads-and-vehicles,3
male-portraits,designs-and-sketches,20
male-portraits,furniture-and-decoration,2
male-portraits,horses,1
horses,storm-and-tempest,1
horses,Sancho-Panza,50
horses,arts-and-crafts,2
horses,palaces-and-mausoleums,7
horses,lakes-and-ponds,2
horses,roads-and-vehicles,5
horses,hunting-and-racing,7
horses,Rocinante,65
horses,countryside,9
horses,mills-and-windmills,2
horses,fields-and-plains,1
horses,sunrise-and-sunset,1
horses,castles-and-fortresses,3
horses,horsemen,7
horses,gates-and-towers,1
horses,mountains,1
horses,lions,10
horses,houses-and-buildings,12
horses,Don-Quixote,72
horses,dogs,1
horses,folk-architecture,1
horses,celebrations-and-festivals,2
horses,military-and-soldiers,8
lakes-and-ponds,valleys-and-hollows,2
lakes-and-ponds,mountains,40
lakes-and-ponds,palaces-and-mausoleums,2
lakes-and-ponds,houses-and-buildings,3
lakes-and-ponds,countryside,5
lakes-and-ponds,cliffs-and-rocks,2
lakes-and-ponds,mills-and-windmills,1
lakes-and-ponds,ruins-and-columns,1
lakes-and-ponds,sunrise-and-sunset,3
palaces-and-mausoleums,gates-and-towers,1
palaces-and-mausoleums,moles-and-embankments,5
palaces-and-mausoleums,Crimea,1
palaces-and-mausoleums,houses-and-buildings,6
palaces-and-mausoleums,Venice,3
palaces-and-mausoleums,celebrations-and-festivals,2
mountains,storm-and-tempest,25
mountains,arts-and-crafts,1
mountains,deer,12
mountains,sun-and-moon,19
mountains,hunting-and-racing,7
mountains,roads-and-vehicles,11
mountains,moles-and-embankments,7
mountains,Crimea,34
mountains,countryside,1
mountains,mills-and-windmills,1
mountains,fields-and-plains,2
mountains,sunrise-and-sunset,36
mountains,cottages-and-farmhouses,3
mountains,castles-and-fortresses,5
mountains,horsemen,3
mountains,Crimean-Mountains,20
mountains,gates-and-towers,5
mountains,islands-and-bays,29
mountains,valleys-and-hollows,23
mountains,houses-and-buildings,30
mountains,J-F.-Michaud-'Bibliotheque-des-Croisades',2
mountains,"John-Milton-""Paradise-Lost""",2
mountains,folk-architecture,6
mountains,celebrations-and-festivals,1
mountains,ruins-and-columns,2
mountains,military-and-soldiers,1
castles-and-fortresses,horsemen,2
castles-and-fortresses,gates-and-towers,2
castles-and-fortresses,sun-and-moon,1
castles-and-fortresses,houses-and-buildings,17
castles-and-fortresses,folk-architecture,1
castles-and-fortresses,countryside,1
castles-and-fortresses,cliffs-and-rocks,2
castles-and-fortresses,celebrations-and-festivals,1
castles-and-fortresses,ruins-and-columns,1
castles-and-fortresses,military-and-soldiers,1
celebrations-and-festivals,islands-and-bays,1
celebrations-and-festivals,houses-and-buildings,2
celebrations-and-festivals,Crimea,1
houses-and-buildings,storm-and-tempest,1
houses-and-buildings,sun-and-moon,2
houses-and-buildings,roads-and-vehicles,9
houses-and-buildings,moles-and-embankments,21
houses-and-buildings,Crimea,4
houses-and-buildings,countryside,3
houses-and-buildings,cliffs-and-rocks,4
houses-and-buildings,Venice,13
houses-and-buildings,mills-and-windmills,5
houses-and-buildings,fields-and-plains,1
houses-and-buildings,sunrise-and-sunset,2
houses-and-buildings,gates-and-towers,1
houses-and-buildings,islands-and-bays,2
houses-and-buildings,valleys-and-hollows,1
houses-and-buildings,folk-architecture,1
gates-and-towers,storm-and-tempest,1
gates-and-towers,islands-and-bays,1
gates-and-towers,sun-and-moon,5
gates-and-towers,sunrise-and-sunset,2
gates-and-towers,roads-and-vehicles,1
gates-and-towers,Crimea,4
gates-and-towers,cliffs-and-rocks,3
gates-and-towers,designs-and-sketches,1
roads-and-vehicles,cottages-and-farmhouses,1
roads-and-vehicles,valleys-and-hollows,2
roads-and-vehicles,hunting-and-racing,3
roads-and-vehicles,dogs,1
roads-and-vehicles,countryside,6
roads-and-vehicles,cliffs-and-rocks,3
roads-and-vehicles,Venice,1
roads-and-vehicles,fields-and-plains,1
roads-and-vehicles,sunrise-and-sunset,1
moles-and-embankments,sun-and-moon,3
moles-and-embankments,Crimea,5
moles-and-embankments,Venice,8
moles-and-embankments,mills-and-windmills,1
moles-and-embankments,sunrise-and-sunset,12
furniture-and-decoration,storm-and-tempest,1
furniture-and-decoration,folk-architecture,1
furniture-and-decoration,arts-and-crafts,5
couples,Don-Quixote,2
couples,horsemen,1
couples,Venice,1
couples,J-F.-Michaud-'Bibliotheque-des-Croisades',1
Jesus-Christ,military-and-soldiers,4
Venice,sunrise-and-sunset,1
islands-and-bays,cottages-and-farmhouses,1
islands-and-bays,Crimean-Mountains,6
islands-and-bays,sun-and-moon,16
islands-and-bays,sunrise-and-sunset,13
islands-and-bays,Crimea,19
islands-and-bays,folk-architecture,1
islands-and-bays,cliffs-and-rocks,4
fields-and-plains,storm-and-tempest,1
fields-and-plains,cottages-and-farmhouses,1
fields-and-plains,deer,1
fields-and-plains,sun-and-moon,2
fields-and-plains,hunting-and-racing,2
fields-and-plains,sunrise-and-sunset,6
fields-and-plains,dogs,1
fields-and-plains,countryside,11
fields-and-plains,cliffs-and-rocks,6
fields-and-plains,mills-and-windmills,4
storm-and-tempest,cottages-and-farmhouses,1
storm-and-tempest,sun-and-moon,2
storm-and-tempest,Crimea,2
storm-and-tempest,dogs,1
storm-and-tempest,cliffs-and-rocks,4
storm-and-tempest,sunrise-and-sunset,2
Don-Quixote,Rocinante,65
Don-Quixote,Sancho-Panza,73
Don-Quixote,mills-and-windmills,2
Don-Quixote,lions,1
Rocinante,Sancho-Panza,43
Rocinante,mills-and-windmills,2
lions,horsemen,2
lions,hunting-and-racing,3
lions,military-and-soldiers,1
sins-and-sinners,Virgil,30
military-and-soldiers,horsemen,3
military-and-soldiers,hunting-and-racing,4
ruins-and-columns,cliffs-and-rocks,1
ruins-and-columns,designs-and-sketches,2
mills-and-windmills,cottages-and-farmhouses,1
mills-and-windmills,sun-and-moon,2
mills-and-windmills,valleys-and-hollows,1
mills-and-windmills,countryside,10
mills-and-windmills,sunrise-and-sunset,3
cliffs-and-rocks,cottages-and-farmhouses,2
cliffs-and-rocks,sun-and-moon,2
cliffs-and-rocks,hunting-and-racing,2
cliffs-and-rocks,countryside,3
cliffs-and-rocks,sunrise-and-sunset,9
sunrise-and-sunset,cottages-and-farmhouses,1
sunrise-and-sunset,Crimean-Mountains,6
sunrise-and-sunset,deer,4
sunrise-and-sunset,valleys-and-hollows,5
sunrise-and-sunset,hunting-and-racing,4
sunrise-and-sunset,Crimea,15
sunrise-and-sunset,countryside,3
deer,cottages-and-farmhouses,1
valleys-and-hollows,arts-and-crafts,1
valleys-and-hollows,sun-and-moon,1
valleys-and-hollows,hunting-and-racing,1
valleys-and-hollows,Crimea,1
valleys-and-hollows,countryside,7
hunting-and-racing,horsemen,3
countryside,cottages-and-farmhouses,6
countryside,Crimea,1
countryside,folk-architecture,2
cottages-and-farmhouses,folk-architecture,3
Crimea,Crimean-Mountains,18
Crimea,sun-and-moon,10
Crimean-Mountains,folk-architecture,1
Crimean-Mountains,sun-and-moon,5
folk-architecture,horsemen,1
