motif_a,motif_b,shared_paintings
Christianity,Holy-Family,46
Christianity,David,10
Christianity,St.-Francis-of-Assisi,25
Christianity,games-and-sport,1
Christianity,Old-Testament,17
Christianity,animals,2
Christianity,heroes,3
Christianity,punishments-and-tortures,21
Christianity,Crucifixion,24
Christianity,Annunciation,13
Christianity,Virgin-Mary,196
Christianity,Virgin-and-Child,74
Christianity,saints-and-apostles,538
Christianity,St. John the Baptist,55
Christianity,angels-and-archangels,155
Christianity,Jesus-Christ,226
Christianity,celebrations-and-festivals,4
Christianity,St.-Paul,17
Christianity,furniture-and-decoration,1
Christianity,horses,1
Christianity,St.-Peter,27
Christianity,military-and-soldiers,5
saints-and-apostles,animals,1
saints-and-apostles,punishments-and-tortures,16
saints-and-apostles,Crucifixion,15
saints-and-apostles,Annunciation,7
saints-and-apostles,children,1
saints-and-apostles,Virgin-Mary,128
saints-and-apostles,boats-and-ships,1
saints-and-apostles,Virgin-and-Child,55
saints-and-apostles,Holy-Family,28
saints-and-apostles,St. John the Baptist,47
saints-and-apostles,angels-and-archangels,98
saints-and-apostles,Jesus-Christ,136
saints-and-apostles,David,2
saints-and-apostles,St.-Francis-of-Assisi,25
saints-and-apostles,games-and-sport,1
saints-and-apostles,St.-Paul,15
saints-and-apostles,horses,1
saints-and-apostles,St.-Peter,27
saints-and-apostles,military-and-soldiers,4
saints-and-apostles,Old-Testament,2
St.-Paul,St.-Peter,2
Jesus-Christ,punishments-and-tortures,4
Jesus-Christ,Crucifixion,23
Jesus-Christ,female-nude,1
Jesus-Christ,Virgin-Mary,106
Jesus-Christ,boats-and-ships,1
Jesus-Christ,Holy-Family,28
Jesus-Christ,Virgin-and-Child,39
Jesus-Christ,St. John the Baptist,21
Jesus-Christ,angels-and-archangels,31
Jesus-Christ,St.-Francis-of-Assisi,3
Jesus-Christ,St.-Peter,4
Jesus-Christ,military-and-soldiers,1
Greek-and-Roman-Mythology,Aphrodite/Venus,25
Greek-and-Roman-Mythology,animals,2
Greek-and-Roman-Mythology,couples,13
Greek-and-Roman-Mythology,heroes,17
Greek-and-Roman-Mythology,punishments-and-tortures,1
Greek-and-Roman-Mythology,Bacchus/Dionysus,15
Greek-and-Roman-Mythology,arts-and-crafts,1
Greek-and-Roman-Mythology,female-nude,21
Greek-and-Roman-Mythology,children,1
Greek-and-Roman-Mythology,Cupid-and-Psyche,20
Greek-and-Roman-Mythology,nymphs-and-satyrs,16
Greek-and-Roman-Mythology,designs-and-sketches,1
Greek-and-Roman-Mythology,celebrations-and-festivals,2
Greek-and-Roman-Mythology,gods-and-goddesses,47
Greek-and-Roman-Mythology,male-nude,14
Greek-and-Roman-Mythology,military-and-soldiers,1
Crucifixion,St. John the Baptist,2
Crucifixion,angels-and-archangels,1
Crucifixion,St.-Francis-of-Assisi,1
Crucifixion,Virgin-Mary,6
Crucifixion,St.-Peter,2
heroes,David,1
heroes,gods-and-goddesses,1
heroes,military-and-soldiers,1
gods-and-goddesses,Aphrodite/Venus,15
gods-and-goddesses,nymphs-and-satyrs,3
gods-and-goddesses,Bacchus/Dionysus,8
gods-and-goddesses,arts-and-crafts,1
gods-and-goddesses,children,1
gods-and-goddesses,Cupid-and-Psyche,9
Cupid-and-Psyche,Aphrodite/Venus,7
Cupid-and-Psyche,nymphs-and-satyrs,3
Cupid-and-Psyche,couples,1
Cupid-and-Psyche,Bacchus/Dionysus,2
Cupid-and-Psyche,female-nude,2
Cupid-and-Psyche,male-nude,1
Virgin-Mary,Holy-Family,32
Virgin-Mary,St. John the Baptist,19
Virgin-Mary,angels-and-archangels,58
Virgin-Mary,mother-and-child,1
Virgin-Mary,Annunciation,12
Virgin-Mary,St.-Francis-of-Assisi,1
Virgin-Mary,Virgin-and-Child,51
Virgin-and-Child,Holy-Family,22
Virgin-and-Child,St. John the Baptist,8
Virgin-and-Child,angels-and-archangels,10
Virgin-and-Child,boats-and-ships,1
St. John the Baptist,Holy-Family,10
St. John the Baptist,angels-and-archangels,1
markets-and-shops,dogs,1
markets-and-shops,animals,3
markets-and-shops,fruits-and-vegetables,1
boats-and-ships,animals,3
boats-and-ships,cottages-and-farmhouses,1
boats-and-ships,seas-and-oceans,23
boats-and-ships,streets-and-squares,3
boats-and-ships,houses-and-buildings,16
boats-and-ships,Holy-Family,1
boats-and-ships,folk-architecture,1
boats-and-ships,countryside,1
boats-and-ships,cliffs-and-rocks,2
boats-and-ships,Venice,15
boats-and-ships,rivers-and-waterfalls,9
boats-and-ships,St.-Peter,1
boats-and-ships,military-and-soldiers,1
boats-and-ships,forests-and-trees,6
streets-and-squares,folk-architecture,2
streets-and-squares,seas-and-oceans,1
streets-and-squares,Venice,2
streets-and-squares,games-and-sport,3
streets-and-squares,reading-and-writing,1
streets-and-squares,military-and-soldiers,1
streets-and-squares,houses-and-buildings,11
streets-and-squares,taverns-and-inns,1
houses-and-buildings,animals,6
houses-and-buildings,cottages-and-farmhouses,1
houses-and-buildings,mother-and-child,1
houses-and-buildings,seas-and-oceans,9
houses-and-buildings,knights-and-warriors,1
houses-and-buildings,cows,3
houses-and-buildings,cliffs-and-rocks,7
houses-and-buildings,Venice,6
houses-and-buildings,celebrations-and-festivals,1
houses-and-buildings,games-and-sport,2
houses-and-buildings,rivers-and-waterfalls,8
houses-and-buildings,horses,3
houses-and-buildings,forests-and-trees,24
rivers-and-waterfalls,animals,12
rivers-and-waterfalls,cottages-and-farmhouses,1
rivers-and-waterfalls,dogs,1
rivers-and-waterfalls,cows,2
rivers-and-waterfalls,folk-architecture,2
rivers-and-waterfalls,countryside,2
rivers-and-waterfalls,cliffs-and-rocks,5
rivers-and-waterfalls,horses,1
rivers-and-waterfalls,forests-and-trees,23
furniture-and-decoration,dogs,1
furniture-and-decoration,couples,1
furniture-and-decoration,family-portraits,1
furniture-and-decoration,mother-and-child,3
furniture-and-decoration,characters-and-emotions,1
furniture-and-decoration,folk-architecture,1
furniture-and-decoration,arts-and-crafts,1
furniture-and-decoration,handwork,1
furniture-and-decoration,families,2
furniture-and-decoration,reading-and-writing,3
furniture-and-decoration,mealtimes,3
military-and-soldiers,angels-and-archangels,2
military-and-soldiers,couples,1
military-and-soldiers,games-and-sport,1
military-and-soldiers,St.-Peter,1
cows,animals,14
cows,dogs,1
cows,countryside,3
cows,handwork,1
cows,forests-and-trees,10
cows,horses,3
countryside,animals,3
countryside,couples,5
countryside,cottages-and-farmhouses,1
countryside,mother-and-child,1
countryside,handwork,4
countryside,children,6
countryside,domestic-settings,9
countryside,taverns-and-inns,18
countryside,folk-architecture,15
countryside,families,10
countryside,celebrations-and-festivals,17
countryside,games-and-sport,2
Venice,seas-and-oceans,6
forests-and-trees,animals,23
forests-and-trees,knights-and-warriors,1
forests-and-trees,dogs,3
forests-and-trees,family-portraits,1
forests-and-trees,cliffs-and-rocks,9
forests-and-trees,games-and-sport,1
forests-and-trees,horses,4
celebrations-and-festivals,folk-architecture,5
celebrations-and-festivals,mealtimes,14
celebrations-and-festivals,taverns-and-inns,1
St.-Peter,angels-and-archangels,2
St.-Peter,games-and-sport,1
animals,characters-and-emotions,1
animals,handwork,1
animals,children,4
animals,knights-and-warriors,1
animals,taverns-and-inns,1
animals,dogs,21
animals,nymphs-and-satyrs,1
animals,dishware-and-cutlery,2
animals,cliffs-and-rocks,3
animals,families,2
animals,mealtimes,2
animals,horses,15
animals,reading-and-writing,1
reading-and-writing,dogs,1
reading-and-writing,couples,1
reading-and-writing,characters-and-emotions,1
reading-and-writing,children,1
arts-and-crafts,handwork,1
arts-and-crafts,families,1
arts-and-crafts,designs-and-sketches,1
arts-and-crafts,domestic-settings,1
double-portraits,family-portraits,1
female-nude,Aphrodite/Venus,2
female-nude,nymphs-and-satyrs,6
female-nude,couples,19
female-nude,Bacchus/Dionysus,1
female-nude,male-nude,24
female-nude,Old-Testament,5
knights-and-warriors,cliffs-and-rocks,1
knights-and-warriors,horses,1
couples,Aphrodite/Venus,1
couples,handwork,3
couples,Bacchus/Dionysus,1
couples,fruits-and-vegetables,1
couples,domestic-settings,5
couples,taverns-and-inns,3
couples,nymphs-and-satyrs,4
couples,family-portraits,2
couples,families,3
couples,male-nude,19
Annunciation,angels-and-archangels,10
games-and-sport,cottages-and-farmhouses,1
games-and-sport,children,2
games-and-sport,taverns-and-inns,1
games-and-sport,folk-architecture,3
family-portraits,angels-and-archangels,1
family-portraits,families,1
angels-and-archangels,mother-and-child,1
angels-and-archangels,Holy-Family,8
angels-and-archangels,St.-Francis-of-Assisi,9
angels-and-archangels,Old-Testament,5
dogs,characters-and-emotions,1
dogs,children,4
dogs,dishware-and-cutlery,2
dogs,families,3
dogs,mealtimes,3
mother-and-child,domestic-settings,2
mother-and-child,folk-architecture,1
mother-and-child,characters-and-emotions,1
mother-and-child,families,2
mother-and-child,children,5
mealtimes,domestic-settings,4
mealtimes,food-and-beverages,1
mealtimes,children,2
mealtimes,taverns-and-inns,1
mealtimes,nymphs-and-satyrs,5
mealtimes,dishware-and-cutlery,2
mealtimes,families,9
children,Bacchus/Dionysus,1
children,domestic-settings,1
children,folk-architecture,1
children,families,7
Old-Testament,David,5
Old-Testament,male-nude,2
taverns-and-inns,folk-architecture,1
families,nymphs-and-satyrs,5
families,folk-architecture,1
families,domestic-settings,6
domestic-settings,dishware-and-cutlery,1
domestic-settings,handwork,4
domestic-settings,fruits-and-vegetables,1
domestic-settings,food-and-beverages,2
handwork,folk-architecture,1
folk-architecture,cottages-and-farmhouses,8
folk-architecture,cliffs-and-rocks,1
cliffs-and-rocks,cottages-and-farmhouses,3
male-nude,Aphrodite/Venus,1
male-nude,nymphs-and-satyrs,5
male-nude,Bacchus/Dionysus,1
male-nude,designs-and-sketches,3
fruits-and-vegetables,dishware-and-cutlery,30
fruits-and-vegetables,food-and-beverages,31
food-and-beverages,dishware-and-cutlery,31
Aphrodite/Venus,nymphs-and-satyrs,3
Bacchus/Dionysus,nymphs-and-satyrs,1
