path,art_movement,author_name,painting_name,x,y
Artists2/Adriaen Van De Velde/Portrait Of A Couple With Two Children And A Nursemaid In A Landscape Detail 1667.jpg,Baroque,Adriaen Van De Velde,Portrait Of A Couple With Two Children And A Nursemaid In A Landscape Detail 1667,0.0009379882187865415,0.0031773974005414075
Artists2/Adriaen Van De Velde/Reclining Herdsman.jpg,Baroque,Adriaen Van De Velde,Reclining Herdsman,0.0013120666922261661,0.0022894713392808855
Artists2/Adriaen Van De Velde/Seated Woman With A Basket And Livestock.jpg,Baroque,Adriaen Van De Velde,Seated Woman With A Basket And Livestock,0.0011534307374257916,0.0031788118809796414
Artists2/Adriaen Van De Velde/Seated Woman.jpg,Baroque,Adriaen Van De Velde,Seated Woman,0.0012351727646539984,0.0024728709674408707
Artists2/Adriaen Van De Velde/Study Of A Female Nude.jpg,Baroque,Adriaen Van De Velde,Study Of A Female Nude,0.0011497370005377752,0.0007527526941333921
Artists2/Adriaen Van De Velde/Study Of A Woman In Peasant Dress.jpg,Baroque,Adriaen Van De Velde,Study Of A Woman In Peasant Dress,0.001359267340952918,0.0025292313201894013
Artists2/Adriaen Van De Velde/The Annunciation 1667.jpg,Baroque,Adriaen Van De Velde,The Annunciation 1667,0.0011221259789819416,-0.011640873504595119
Artists2/Adriaen Van De Velde/The Beach At Scheveningen 1658.jpg,Baroque,Adriaen Van De Velde,The Beach At Scheveningen 1658,0.0013496398956380977,0.004423680999345486
Artists2/Adriaen Van De Velde/The Church Of St Severin In Cologne In A Fictive Setting 1672.jpg,Baroque,Adriaen Van De Velde,The Church Of St Severin In Cologne In A Fictive Setting 1672,0.0013250320049203257,0.004269331471774485
Artists2/Adriaen Van De Velde/The Farm 1666.jpg,Baroque,Adriaen Van De Velde,The Farm 1666,0.001282497659236921,0.003952621846457589
Artists2/Adriaen Van De Velde/The Hut 1671.jpg,Baroque,Adriaen Van De Velde,The Hut 1671,0.0013368047023253505,0.004083422632037425
Artists2/Adriaen Van De Velde/The Hut Detail 1671.jpg,Baroque,Adriaen Van De Velde,The Hut Detail 1671,0.001225857297176475,0.003904433491723158
Artists2/Adriaen Van De Velde/The Martelaarsgracht In Amsterdam.jpg,Baroque,Adriaen Van De Velde,The Martelaarsgracht In Amsterdam,0.0014611052240055204,0.0046105400577495246
Artists2/Adriaen Van De Velde/The Stone Bridge 1672.jpg,Baroque,Adriaen Van De Velde,The Stone Bridge 1672,0.0016712298986385524,0.005364753985425233
Artists2/Adriaen Van De Velde/View In Amsterdam.jpg,Baroque,Adriaen Van De Velde,View In Amsterdam,0.0011130128238605013,0.0035413557656945927
Artists2/Adriaen Van De Velde/View Of Oudezijds Voorburgwal With The Oude Kerk In Amsterdam.jpg,Baroque,Adriaen Van De Velde,View Of Oudezijds Voorburgwal With The Oude Kerk In Amsterdam,0.0012438108947835052,0.0039434803153438605
Artists2/Adriaen Van De Velde/View Of The Ancient Castle Of The Dukes Of Burgundy In Brussels 1672.jpg,Baroque,Adriaen Van De Velde,View Of The Ancient Castle Of The Dukes Of Burgundy In Brussels 1672,0.001268608913536066,0.0040885835237179265
Artists2/Adriaen Van De Venne/A Game Of Handball With Country Palace In Background.jpg,Baroque,Adriaen Van De Venne,A Game Of Handball With Country Palace In Background,0.001382612959820458,0.0027309461813071704
Artists2/Adriaen Van De Venne/A Man Carrying A Sack.jpg,Baroque,Adriaen Van De Venne,A Man Carrying A Sack,0.0012387788086103493,0.0029787580162200272
Artists2/Adriaen Van De Venne/A Merry Company In An Arbor.jpg,Baroque,Adriaen Van De Venne,A Merry Company In An Arbor,0.0016700662573577866,0.003343198662254127
Artists2/Adriaen Van De Venne/A Summer Village Landscape With Horse.jpg,Baroque,Adriaen Van De Venne,A Summer Village Landscape With Horse,0.0016621277432468972,0.004324445976221106
Artists2/Adriaen Van De Venne/Al Te Bot.jpg,Baroque,Adriaen Van De Venne,Al Te Bot,0.0019522585872661698,0.004782438535875939
Artists2/Adriaen Van De Venne/Allegory Of Poverty.jpg,Baroque,Adriaen Van De Venne,Allegory Of Poverty,0.0011623117966212796,-0.0010103950859669205
Artists2/Adriaen Van De Venne/An Amorous Peasant Couple Conversing.jpg,Baroque,Adriaen Van De Venne,An Amorous Peasant Couple Conversing,0.0011945260510996456,0.002483190920346254
Artists2/Adriaen Van De Venne/Beautiful And Ugly 1634.jpg,Baroque,Adriaen Van De Venne,Beautiful And Ugly 1634,0.0018176582496629296,-0.0010098516024375397
Artists2/Adriaen Van De Venne/Dance Of Death.jpg,Baroque,Adriaen Van De Venne,Dance Of Death,0.001891174449303,-0.0010151335671201975
Artists2/Adriaen Van De Venne/Emblem 1.jpg,Baroque,Adriaen Van De Venne,Emblem 1,0.0012833130032554802,0.0023458488124964644
Artists2/Adriaen Van De Venne/Emblem.jpg,Baroque,Adriaen Van De Venne,Emblem,0.0012712665280293493,0.0029178983064856168
Artists2/Adriaen Van De Venne/Fools Have The Most Fun.jpg,Baroque,Adriaen Van De Venne,Fools Have The Most Fun,0.0016294141871690503,0.0021568174797679572
Artists2/Adriaen Van De Venne/Frontispiece.jpg,Baroque,Adriaen Van De Venne,Frontispiece,-0.013036786132709458,-0.004796397356427931
Artists2/Adriaen Van De Venne/Mans Grief.jpg,Baroque,Adriaen Van De Venne,Mans Grief,0.0015932611141225397,0.003106043429152449
Artists2/Adriaen Van De Venne/Maurice 1567 1625 Prince Of Orange Lying In State.jpg,Baroque,Adriaen Van De Venne,Maurice 1567 1625 Prince Of Orange Lying In State,0.0015831325411309533,0.0021366082503297018
Artists2/Adriaen Van De Venne/Moses Striking The Rock.jpg,Baroque,Adriaen Van De Venne,Moses Striking The Rock,0.0014571988801247878,-0.014544603343025573
Artists2/Adriaen Van De Venne/Portrait Of Frederick Hendrick Prince Of Orange Nassau.jpg,Baroque,Adriaen Van De Venne,Portrait Of Frederick Hendrick Prince Of Orange Nassau,0.001428035393516135,0.0019362180015433342
Artists2/Adriaen Van De Venne/Portrait Of Maurice Prince Of Orange.jpg,Baroque,Adriaen Van De Venne,Portrait Of Maurice Prince Of Orange,0.0015031660216825082,0.002063306141440501
Artists2/Adriaen Van De Venne/Princes Maurits And Frederik Hendrik Of Orange At The Valkenburg Horse Fair.jpg,Baroque,Adriaen Van De Venne,Princes Maurits And Frederik Hendrik Of Orange At The Valkenburg Horse Fair,0.0015176201190682315,0.001665110713137799
Artists2/Adriaen Van De Venne/Summer.jpg,Baroque,Adriaen Van De Venne,Summer,0.0014334619502230877,0.003303053582700679
Artists2/Adriaen Van De Venne/The Port Of Middelburg.jpg,Baroque,Adriaen Van De Venne,The Port Of Middelburg,0.0012184996136652049,0.00397597352469474
Artists2/Adriaen Van De Venne/What Won T People Do For Money.jpg,Baroque,Adriaen Van De Venne,What Won T People Do For Money,0.0012017328985375892,0.002253732163107156
Artists2/Adriaen Van De Venne/Where There Are People Money May Be Made.jpg,Baroque,Adriaen Van De Venne,Where There Are People Money May Be Made,0.0014524645015052853,0.0032202409567564294
Artists2/Adriaen Van De Venne/Winter Scene.jpg,Baroque,Adriaen Van De Venne,Winter Scene,0.0015694882444610891,0.004588269273035142
Artists2/Adriaen Van Ostade/A Baker.jpg,Baroque,Adriaen Van Ostade,A Baker,0.0020701810814414863,0.0031671133966829842
Artists2/Adriaen Van Ostade/A Man In The Window.jpg,Baroque,Adriaen Van Ostade,A Man In The Window,0.002009133283249674,0.003039445838849535
Artists2/Adriaen Van Ostade/A Peasant Family Outside A Cottage.jpg,Baroque,Adriaen Van Ostade,A Peasant Family Outside A Cottage,0.001490994879598545,0.0026968848792964543
Artists2/Adriaen Van Ostade/A Peasant In A Red Beret Smoking A Pipe.jpg,Baroque,Adriaen Van Ostade,A Peasant In A Red Beret Smoking A Pipe,0.0017540857806022708,0.002651710503550348
Artists2/Adriaen Van Ostade/A Tavern Interior With Peasants Drinking Beneath A Window.jpg,Baroque,Adriaen Van Ostade,A Tavern Interior With Peasants Drinking Beneath A Window,0.001362683944720766,0.002557600883784638
Artists2/Adriaen Van Ostade/A Village Inn.jpg,Baroque,Adriaen Van Ostade,A Village Inn,0.0016057688564908603,0.0029872453816322977
Artists2/Adriaen Van Ostade/An Alchemist.jpg,Baroque,Adriaen Van Ostade,An Alchemist,0.001705728677565152,0.0026478197116559647
Artists2/Adriaen Van Ostade/An Old Woman By Window.jpg,Baroque,Adriaen Van Ostade,An Old Woman By Window,0.0019446757218339896,0.0033976515359570884
Artists2/Adriaen Van Ostade/Buying Fish 1669.jpg,Baroque,Adriaen Van Ostade,Buying Fish 1669,0.0016039133445489157,0.0031650860680300726
Artists2/Adriaen Van Ostade/Children Playing In A Barn.jpg,Baroque,Adriaen Van Ostade,Children Playing In A Barn,0.001479301770102766,0.002744688092906258
Artists2/Adriaen Van Ostade/Cottage Interior With A Family Around The Hearth.jpg,Baroque,Adriaen Van Ostade,Cottage Interior With A Family Around The Hearth,0.001382354684723399,0.0024996732154344923
Artists2/Adriaen Van Ostade/Country Concert.jpg,Baroque,Adriaen Van Ostade,Country Concert,0.0016523439798556856,0.0029739504462211862
Artists2/Adriaen Van Ostade/Cutting The Feather.jpg,Baroque,Adriaen Van Ostade,Cutting The Feather,0.0014983750909375558,0.003510133094642535
Artists2/Adriaen Van Ostade/Dance At The Inn.jpg,Baroque,Adriaen Van Ostade,Dance At The Inn,0.0017832954952719724,0.003467243391410454
Artists2/Adriaen Van Ostade/Dancing Couple And Merry Company In An Interior.jpg,Baroque,Adriaen Van Ostade,Dancing Couple And Merry Company In An Interior,0.0014905882630891296,0.0028357490162185094
Artists2/Adriaen Van Ostade/Dancing Farmers.jpg,Baroque,Adriaen Van Ostade,Dancing Farmers,0.0010175188090176437,0.0019961072344646443
Artists2/Adriaen Van Ostade/Drinking Peasant In An Inn.jpg,Baroque,Adriaen Van Ostade,Drinking Peasant In An Inn,0.0020306497579851536,0.0037594611123546993
Artists2/Adriaen Van Ostade/Feasting Peasants In A Tavern.jpg,Baroque,Adriaen Van Ostade,Feasting Peasants In A Tavern,0.001702726011941469,0.0030050870213129163
Artists2/Adriaen Van Ostade/Happy Peasants.jpg,Baroque,Adriaen Van Ostade,Happy Peasants,0.001395540980375978,0.001832849104421025
Artists2/Adriaen Van Ostade/In A Barn.jpg,Baroque,Adriaen Van Ostade,In A Barn,0.0016499359028385515,0.0030851141013778192
Artists2/Adriaen Van Ostade/In A Tavern.jpg,Baroque,Adriaen Van Ostade,In A Tavern,0.0014835611591013282,0.002700931556731897
Artists2/Adriaen Van Ostade/In The Village Inn.jpg,Baroque,Adriaen Van Ostade,In The Village Inn,0.0014638694348265823,0.002685295914836214
Artists2/Adriaen Van Ostade/Inn Scene.jpg,Baroque,Adriaen Van Ostade,Inn Scene,0.001906790028873007,0.003525666495031548
Artists2/Adriaen Van Ostade/Interior Of A Farmhouse With Skaters.jpg,Baroque,Adriaen Van Ostade,Interior Of A Farmhouse With Skaters,0.0014931970363276463,0.002679062745291069
Artists2/Adriaen Van Ostade/Interior Of A Tavern With Violin Player.jpg,Baroque,Adriaen Van Ostade,Interior Of A Tavern With Violin Player,0.001771479178391816,0.003081675373801549
Artists2/Adriaen Van Ostade/Interior Of A Tavern.jpg,Baroque,Adriaen Van Ostade,Interior Of A Tavern,0.0018430380563476357,0.003373748749913544
Artists2/Adriaen Van Ostade/Interior Of An Inn.jpg,Baroque,Adriaen Van Ostade,Interior Of An Inn,0.0012414035176587209,0.002134798014500445
Artists2/Adriaen Van Ostade/Interior With A Peasant Family.jpg,Baroque,Adriaen Van Ostade,Interior With A Peasant Family,0.0014163658192029604,0.002620786933982536
Artists2/Adriaen Van Ostade/Landscape With An Old Oak.jpg,Baroque,Adriaen Van Ostade,Landscape With An Old Oak,0.0012461685784326817,0.004098082211825261
Artists2/Adriaen Van Ostade/Lawyer In His Study.jpg,Baroque,Adriaen Van Ostade,Lawyer In His Study,0.0016949615668153944,0.002551719875594915
Artists2/Adriaen Van Ostade/Merrymakers In An Inn.jpg,Baroque,Adriaen Van Ostade,Merrymakers In An Inn,0.0016452941274821542,0.0028537515310584835
Artists2/Adriaen Van Ostade/Mother Holding Her Child In A Doorway.jpg,Baroque,Adriaen Van Ostade,Mother Holding Her Child In A Doorway,0.0017494022588875632,0.0033958856684030633
Artists2/Adriaen Van Ostade/Peasant At A Window 1662.jpg,Baroque,Adriaen Van Ostade,Peasant At A Window 1662,0.0016221483581995728,0.002443430348331218
Artists2/Adriaen Van Ostade/Peasant Family In A Cottage Interior.jpg,Baroque,Adriaen Van Ostade,Peasant Family In A Cottage Interior,0.001457463351654438,0.0026108254740936313
Artists2/Adriaen Van Ostade/Peasant Family.jpg,Baroque,Adriaen Van Ostade,Peasant Family,0.001570470333434572,0.0028780601829237825
Artists2/Adriaen Van Ostade/Peasants Carousing And Dancing Outside An Inn.jpg,Baroque,Adriaen Van Ostade,Peasants Carousing And Dancing Outside An Inn,0.0017169756453624164,0.00319525671287117
Artists2/Adriaen Van Ostade/Peasants Dancing In A Tavern.jpg,Baroque,Adriaen Van Ostade,Peasants Dancing In A Tavern,0.0017224292579968276,0.003240938252148367
Artists2/Adriaen Van Ostade/Peasants Drinking And Making Music In A Barn.jpg,Baroque,Adriaen Van Ostade,Peasants Drinking And Making Music In A Barn,0.0016917598899282972,0.003158032793000659
Artists2/Adriaen Van Ostade/Peasants In A Tavern.jpg,Baroque,Adriaen Van Ostade,Peasants In A Tavern,0.0015692386483859972,0.002821552858623096
Artists2/Adriaen Van Ostade/Peasants In An Inn.jpg,Baroque,Adriaen Van Ostade,Peasants In An Inn,0.001831799999065227,0.0034166199996222063
Artists2/Adriaen Van Ostade/Peasants In An Interior.jpg,Baroque,Adriaen Van Ostade,Peasants In An Interior,0.0018678303629810714,0.0035011848088790805
Artists2/Adriaen Van Ostade/Piping And Drinking In The Tavern.jpg,Baroque,Adriaen Van Ostade,Piping And Drinking In The Tavern,0.0019317156599304066,0.0036268255680776277
Artists2/Adriaen Van Ostade/Portrait Of A Boy.jpg,Baroque,Adriaen Van Ostade,Portrait Of A Boy,0.0014183637408631507,0.002655135377869778
Artists2/Adriaen Van Ostade/Portrait Of A Family.jpg,Baroque,Adriaen Van Ostade,Portrait Of A Family,0.0018827501116895724,0.0033493401186028104
Artists2/Adriaen Van Ostade/Portrait Of A Scholar.jpg,Baroque,Adriaen Van Ostade,Portrait Of A Scholar,0.0020528166267184886,0.002998346013868805
Artists2/Adriaen Van Ostade/Prayer Before The Meal.jpg,Baroque,Adriaen Van Ostade,Prayer Before The Meal,0.0017089727333016583,0.0022210524190714345
Artists2/Adriaen Van Ostade/Quarrel.jpg,Baroque,Adriaen Van Ostade,Quarrel,0.001414386130821153,0.0028105925073531437
Artists2/Adriaen Van Ostade/Reading A Letter.jpg,Baroque,Adriaen Van Ostade,Reading A Letter,0.0015448666440827513,0.0027806454933078815
Artists2/Adriaen Van Ostade/Resting Travellers.jpg,Baroque,Adriaen Van Ostade,Resting Travellers,0.0018123299160503527,0.0032862266473354207
Artists2/Adriaen Van Ostade/Scene In The Tavern.jpg,Baroque,Adriaen Van Ostade,Scene In The Tavern,0.00144492579905325,0.002916750171825149
Artists2/Adriaen Van Ostade/Scissors Grinder.jpg,Baroque,Adriaen Van Ostade,Scissors Grinder,0.0013380873857202992,0.0031799321627843423
Artists2/Adriaen Van Ostade/Sense Of Smell.jpg,Baroque,Adriaen Van Ostade,Sense Of Smell,0.0016688140348738935,0.003021939211493043
Artists2/Adriaen Van Ostade/Smiling Smoker.jpg,Baroque,Adriaen Van Ostade,Smiling Smoker,0.0015991547340363723,0.002626442058912431
Artists2/Adriaen Van Ostade/Smoker.jpg,Baroque,Adriaen Van Ostade,Smoker,0.0017426490224126876,0.0025783880733622794
Artists2/Adriaen Van Ostade/Tavern Interior.jpg,Baroque,Adriaen Van Ostade,Tavern Interior,0.001687398678047648,0.0030572433347791582
Artists2/Adriaen Van Ostade/Tavern Scene.jpg,Baroque,Adriaen Van Ostade,Tavern Scene,0.0015730507139758646,0.0028738261665534376
Artists2/Adriaen Van Ostade/The Breakfast.jpg,Baroque,Adriaen Van Ostade,The Breakfast,0.0015939761119787177,0.002448913646968128
Artists2/Adriaen Van Ostade/The Call.jpg,Baroque,Adriaen Van Ostade,The Call,0.0012403046200155018,0.002038250786216534
Artists2/Adriaen Van Ostade/The Cottage Dooryard.jpg,Baroque,Adriaen Van Ostade,The Cottage Dooryard,0.001077499087410617,0.0033265727530907177
Artists2/Adriaen Van Ostade/The De Goyer Family And The Painter.jpg,Baroque,Adriaen Van Ostade,The De Goyer Family And The Painter,0.0010993321131892366,0.0008733903192446732
Artists2/Adriaen Van Ostade/The Family 1.jpg,Baroque,Adriaen Van Ostade,The Family 1,0.0013057285354755458,0.002517091184910778
Artists2/Adriaen Van Ostade/The Family.jpg,Baroque,Adriaen Van Ostade,The Family,0.0012917741293904457,0.0024027622499755217
Artists2/Adriaen Van Ostade/The Fishmarket.jpg,Baroque,Adriaen Van Ostade,The Fishmarket,0.0018243539331818629,0.0037647215069826533
Artists2/Adriaen Van Ostade/The Fishwife 1.jpg,Baroque,Adriaen Van Ostade,The Fishwife 1,0.0017838601966692635,0.004117645642083847
Artists2/Adriaen Van Ostade/The Fishwife.jpg,Baroque,Adriaen Van Ostade,The Fishwife,0.0014571797876752695,0.0031211675279418324
Artists2/Adriaen Van Ostade/The Halt At The Inn.jpg,Baroque,Adriaen Van Ostade,The Halt At The Inn,0.0017790772947936756,0.0033297573709955798
Artists2/Adriaen Van Ostade/The Interior Of A Peasant S Cottage.jpg,Baroque,Adriaen Van Ostade,The Interior Of A Peasant S Cottage,0.0012603067108729188,0.002236031200905688
Artists2/Adriaen Van Ostade/The Merry Peasant.jpg,Baroque,Adriaen Van Ostade,The Merry Peasant,0.0021583299155382082,0.0032994301461689826
Artists2/Adriaen Van Ostade/The Painter In His Workshop.jpg,Baroque,Adriaen Van Ostade,The Painter In His Workshop,0.0015570132501433374,0.0024472144722550173
Artists2/Adriaen Van Ostade/The Peasant Settling His Debt.jpg,Baroque,Adriaen Van Ostade,The Peasant Settling His Debt,0.001653781140244473,0.004129345432146723
Artists2/Adriaen Van Ostade/The Schoolmaster.jpg,Baroque,Adriaen Van Ostade,The Schoolmaster,0.0014299930327763223,0.0029300121590847285
Artists2/Adriaen Van Ostade/The Smoker.jpg,Baroque,Adriaen Van Ostade,The Smoker,0.0016817990131821122,0.002762779091636603
Artists2/Adriaen Van Ostade/The Stall Keeper.jpg,Baroque,Adriaen Van Ostade,The Stall Keeper,0.002243244681062361,0.004189803154391849
Artists2/Adriaen Van Ostade/The Violinist.jpg,Baroque,Adriaen Van Ostade,The Violinist,0.0022987793073454437,0.0042334670543503
Artists2/Adriaen Van Ostade/Three Peasants At An Inn.jpg,Baroque,Adriaen Van Ostade,Three Peasants At An Inn,0.0019292654065587922,0.0033236351090846984
Artists2/Adriaen Van Ostade/Village Feast.jpg,Baroque,Adriaen Van Ostade,Village Feast,0.0021381006611139505,0.004128952529221685
Artists2/Adriaen Van Ostade/Village Musicians 1.jpg,Baroque,Adriaen Van Ostade,Village Musicians 1,0.0023427478517753595,0.004513406104753037
Artists2/Adriaen Van Ostade/Village Musicians.jpg,Baroque,Adriaen Van Ostade,Village Musicians,0.0016948397784566603,0.0032682424164827044
Artists2/Adriaen Van Ostade/Village Tavern With Four Figures.jpg,Baroque,Adriaen Van Ostade,Village Tavern With Four Figures,0.0016066082296114755,0.00284583917327288
Artists2/Adriaen Van Ostade/Wandering Musician.jpg,Baroque,Adriaen Van Ostade,Wandering Musician,0.0015607887165860783,0.0024155040335368393
Artists2/Agostino Carracci/A Peasant Man Head And Shoulders Shouting.jpg,Baroque,Agostino Carracci,A Peasant Man Head And Shoulders Shouting,0.0014038033858272299,0.0020469333850722275
Artists2/Agostino Carracci/Achille And Briseis.jpg,Baroque,Agostino Carracci,Achille And Briseis,0.0019928916454376297,0.0014306519766584945
Artists2/Agostino Carracci/Aeneas And Dido.jpg,Baroque,Agostino Carracci,Aeneas And Dido,0.0019916666470858207,0.0014298158843960044
Artists2/Agostino Carracci/Alcibiade And Glycere.jpg,Baroque,Agostino Carracci,Alcibiade And Glycere,0.0018739608267376575,0.0013213231604925959
Artists2/Agostino Carracci/Angelica And Medor.jpg,Baroque,Agostino Carracci,Angelica And Medor,0.0019701696954526377,0.0013912661473796922
Artists2/Agostino Carracci/Ann Parolini Guicciardini 1598.jpg,Baroque,Agostino Carracci,Ann Parolini Guicciardini 1598,0.0012999825134871784,0.0021896266299252457
Artists2/Agostino Carracci/Antony And Cleopatra.jpg,Baroque,Agostino Carracci,Antony And Cleopatra,0.0016838195824536708,0.0011730784449999394
Artists2/Agostino Carracci/Bachus And Ariane.jpg,Baroque,Agostino Carracci,Bachus And Ariane,0.001531485222385996,0.001100049794581823
